authors,ratings,comments
Mita Barman Mandal,5.0,"today just at this moment i finished friends and i feel so sad that i have to say goodbye to all of them ...it's been almost a one year journey a great journey and i am happy how things ended up but i am little sad for joey tho but i hope he will also find a good ending . i am so so grateful to the whole crew of friends for providing us with these amazing series. It's just like i was living with them and been sharing all their happiness sadness , faced all these ups and downs together but so you know i don't think any series will make you  feel like a FAMILY . U guys might have heard the saying , 'THERE IS FRIENDS, THERE IS FAMILY AND THEN THERE ARE FRIENDS THAT BECOME FAMILY.' It's totally like that just as u know friends started with rachel having issues with family and these guys welcomed her chandler already was friends with them and monica welcomed him in her life phoebe was the craziest person i have ever seen they still loved her and her craziness i mean who does that for a friend but they accepted her and welcomed her see that makes them a complete FAMILY . goodbye"
Rajesh Lakhmani,0.0,"THIS SHOW IS SOOO MUCH WORTHY OF WATCHING 
like it has all the drama romance everything for which one looks for.....
Mostly I loved about this sitcom was its humour it was amazing even my stomach would pain laughing...
Secondly these characters have given astounding acting it feels great watching them together makes me remember my freind thing 
These 90s show were already super awsome but this one was yes yes yess its addicting too u will never get bored of watching 
I had watched all the episodes in less than 1 month 
Thanks to comedy central from where i got to know about it ..

❤❤
Loved all 6 of them THE MESSIESS and that apartment"
Cheshta Malik,5.0,"MUST WATCH!! F.R.I.E.N.D.S. is FAMILY. I can't even put in words how much I am attached to this sitcom. This is just a pure and funny moment the six friends experience in New York. As you'll go through this story, you'll feel as if you're a part of their friend group. this gives us a feeling of emotional attachment and comfort. As I had heard many people say, that this show become your comfort how. I completely agree! The sense of relaxation this gives me is just undefined. I remember myself crying my eyes out when it ended because I has seen it all and the next moment I had a big smile, ofcourse I had started this show again. You are not going to regret the time you put on this show. TRUST ME! GO FOR IT!
The best part about it is that it does not show any typical filmy plot. The entire story is filled with realism and is easy to relate to (comfort, I told you). It shows both the ups and downs of all the characters and how they get through with this. Anyways, I'll go and replay it. Bye."
Soumya Jain,5.0,"What do I think, seriously “OH MY GOD,” ohk not Janice😇, but “CAN ANY SERIES GET ANY BETTER?”....Nah huh Don’t even think about it Chandler’s spontaneous Sarcasm will kill any such thoughts, Oh No! no killing cause phoebe’s patrolling😇...but.....”U KNOW I DON’T KNOW I KNOW WHAT I SHOULD KNOW”.....ohhh Phoebe😇..oh this bouncer, I had to rewatch it over and over again, finally here I am knowing after all😇,  but “I AM FINE!” (fine like Ross) series ended, atleast Ross and Rachel made it together, looks like I need some, “HOW YOU DOING,” to get over the series, nah huh not joey’s way though😇, maybe I should just fill my fridge and later partying in expensive Chinese plates, but gotta be careful handling them, maybe I should just, “PUT SOME OF THIS IN STACK, PILE UP AND COLOUR CODE,” not as organized as Monica I guess, but, “I AM NOT GONNA EXCHANGE THIS SERIES,” just the wisdom of series perhaps, oh yeah so like Rachel, anyways I have never enjoyed any series as much as I have this, its just so entertaining I swear its a Mood refresher just like sleep, Ohk Monica Geller Here’s what I need, “Weirdo Wisdomis baked with Pushover Fashionista, boiled with Uncontrollable Sarcasm, with a peck of Sweet Dinosaur Mannersims garnished with Dim-witted Charishmas and spiced with Organized Foodie. Ohk this series should never end. THATS IT NO MORE WHINING FROM ME, THANX TO FRIENDS, and please after you watch it don’t come back to me and say I can’t just hungover it I can’t get it enough cause nobody who watches friends can ever get enough of it. Yup you are doomed for life, Enjoy."
Naveena K,0.0,"Yessss awwful thanks for this show , last episode of friends and I gonna miss this show evry much. Its all about true luv n life such and thkful feeling for chandler. And monica ..... have seen many TV shows but this is the one which gave me most smile happiness and laughter and yeah  enjoyment toooooo....Nnw I know why do people love friends dis much .......people get through good times with dis show. This is an awesome show which make you feel very much happie n smile smlie smlie always yess u do ..... . I would like to thank the whole team of FRIENDS for making this awesome show.... These 6 people have always been on the set and they are incredible in their characters Monica, Rachel, Pheobe, Joey, Chandler & Ross. Love you guys.people are still loving this show. Thank you guys.......##friends😍 chandler love❤"
Sambhav Arora,0.0,"This show is the Best Show for me regardless of Genre or Language. I know that this show actually need no intro and that there have multiple reviews of this show but still I am writing this review anyway. Honestly I didn't knew what this show was for obvious reasons which is that I wasn't even born till the 3rd season of this show. I had this in my watchlist on Facebook since 2010 and I even was following its page, but never watched a single episode until 5 years ago when I first thought to watch this show after reading an article on in its 20th Anniversary in 2014. And since that day I can't even recall how many times I watched this amazing show. In reality I am you can say a 'Loner' but this show made me realise the importance of Friends. I cried and I laughed, I got so immersed in this show that I even wanted to go to New York of 90s and have a Coffee in the Central Perk. I love each of the Six Friends, the Sarcastic Chandler, the Goofy Actor Joey, the Eccentric and Aloof Phoebe, the Overly Competitive Monica, the Dino Man ""Who was on a Break"" Ross and the Brat but Sweet Rachel. Though my personal Biases are definitely Chandler Bing, Rachel Green and Joey Tribbiani (who BTW doesn't share his food ;) ). I just love this show. 

In conclusion all I can say is that I don't think that there's a single person who doesn't love this show once they've watched this and to those who haven't watched it yet please grab your TV remote, PC, Smartphone and watch this show now cuz you're missing something big time!"
Shravan Vallaban,5.0,"This is by far the best sitcom I have ever watched. Having watched other immensely successful sitcoms like the office, I would ascertain the character development in friends is incredible. Most of the characters except Rachel, by the end of the show, did not change their nature from what it was at the beginning of the show. There were too many moments that were emotionally connected to me and that's where David and Marta Kaufmann have played their part. Monica has this finicky character which some of the audience might not like but her other aspects more than make for it. 

Initially, Chandler's character looked the most comical during the first two seasons but after that Joey's character stood out to best in the series throwing up with instantaneous jokes that would tickle most of the bones in our body.

The scene where Joey is asked to describe the relationship between Monica and Chandler and add something about love, he consciously uses alliteration with loving....sharing.....giving....taking.... even after he inadvertently uses a better description of how they meant to him. That is the best scene of the series.

Go, check out the tidbits from IMDB which are interesting but don't read them before you watch the show as they contain spoilers."
Amelia Chalus,0.0,"This is honestly the best tv show I have ever watched, this show got me through thick and thin, sad days and happy days, sick days and healthy, rainy and sunny I can still watch it over and over with out getting bored and it makes me laugh and cry and cheer and when it ended I felt a sad emotional feeling that I’ve never felt before in a movie or tv show. I’m very glad my sister showed me it other wise my life would not be complete, this show is my family ( of course with my real family). I would like to thank David crane and Marta cauffman for creating this masterpiece and to thank the producers for building it and of course the actors for playing the magnificent characters 
Phoebe-Lisa kudrow
 Rachel-Jennifer anistan
Joey-Matt LeBlank
Chandler-Mathew Perry
Monica-Courtney Cox
Ross-David scwimmer
If you haven’t seen this show, well then you have to watch it. If you don’t like background laughing then don’t watch it, but I encourage you to try. And if you don’t like it don’t judge people because they are the ones that are right😂😂. 
But you have to watch it
Thank you for reading this rating or comment (or whatever it is)"
TV Critics,5.0,"THIS IS MY FAVORITE SHOW EVERRRR. 

Seriously, Friends is by far my favorite sitcom. It's so beautifully written and all the actors have done an amazing job with their characters. All of them are consistently funny. This show balances well the comedy and the emotional moments very well. 

It represents a group of people who love each other and are there for each other at all times. And they forgive each other's mistakes no matter what. And that's a really beautiful thing. 

Chandler remains funny throughout, Monica remains nice and beautiful and her personality is charming, Rachel becomes funnier as the seasons go and I loved watching her character growth, Pheobe remains one of the funniest friends and she's charming and Joey is so sweet an kind. All six bring something special to the table and I love it so much."
celia garcia,5.0,"Though the format was scripted,  conversations were candid and spontaneous.  The actors did not disappoint: all 6 of them seemed true to characters they played, but they also exuded real personal affection for each other. Some of the scripted parts seemed forced, like the fashion walk or pop-ups with celebrities unrelated to the original program and only diminished the time devoted the main actors. But overall, it was a poignant get together.
It was a reunion as emotional to me and other avid fans, as it probably was to the actors who were just like our long missed friends. We knew people in that show for ten years, laughed and cried with them, loved  and hoped with them, and for 30 minutes a night in each of the 52 weeks of those years lived their stories with them. Thank you to Rachel and Ross and Monica and Chandler and Phoebe and Joey and everybody in the show who created the collective experience with us viewers and shared those sweet moments in life we would always carry in us."
Tanushree upadhya,0.0,Words are not enough to explain this series and how much it means to me how much it's close to my heart. When m sad I watch friends when m happy I watch friends when m worried I watch friends.m so glad that I got to watch such a great series and at the same time I feel sad that I have finished it so many times that now I know every scene in the series. If any one of you are reading this just to decide whether to watch it or not then please don't even give a second thought to this series just go for it and trust me you will be so glad afterwards that you watched it. It is amazing.you feel that you are emotionally connected to each characters. You won't be able to believe even for a second that those characters are fictional.i can go on and on about this but let's just stop this for now bcz i gotta watch an episode of friends now♥️.
Lisa Griffin,5.0,"there are no words to describe the amazing show that is friends !!! ive beenwatching friends since I was 2 and I'm 15 now but any way, I am in all about this show, it makes you feel emotions that you didnt know you had. My whole life has basically been revoled around this show I know every line to every episode and I'm not ashamed. This show makes you laugh,cry,scream with joy,feel angry, upset, mad ,but all around happy !!! If I could watch one show for the rest of my life I would have to watch Friends ! Not only has this show been in my life since the beginning but its played a big part in my upbringing and i feel as if I'm am a better person and more humble and understanding of life and the real world because of it !! I feel everyone can relate alot to all the characters Rachel: lost and unsure of the world around her Monica: Career driven and uptight Ross: hopeless romantic Phoebe: different and optimistic Joey:loveable and always hungry Chandler: hard headed and sarcastic and loveable but hard to love . Theres much more to each of these amazing characters but I would have to right a book to say everything. So to end this I would like to say if you have not watched friends please go and. do so it will change your life for the better !!"
Aishni Sharma,5.0,"F.R.I.E.N.D.S is the best series I've ever watched and it will always be the best in the future. I was not even born when this series was shot but still it feels like mon,joe,bing,rach,ross,pheebs are in their 20s and they are chilling at central perk having coffee. I think this is the only series which have received so much love worldwide. I am never gonna stop watching it. It's like a cycle you start from season 1 to season 10 and then again from season 1 to season 10. This series will always be close to my heart. It seems like these characters haven't aged at all. It acts like a total mood changer always, whenever you feel low or in a bad mood just watch 1 or 2 episode of any season and you could feel like everything's so fun. This is the only series in which every character is my favourite , i cannot choose between these 6 people. I just love it and its a must watch. love you mon joe bing rach pheebs ross."
Koda Arnold,5.0,"I have been a die hard fan Since my father got me watching my first episode as a child.
My hands down favorite show of all time.
It is both funny and emotional and shows what real friendship is supposed to be..
Chandler and joey make the show funny and charming while ross and rachel show what love can be like, a rollercoaster of emotion. All the characters bring something special Individually but all of them together make a legendary show. Thank you all for an amazing show cast. I have the entire box series and watch it religiously🤣

And R.I.P to the amazing Matthew Perry, You truly made the show a charming sarcastic fun time that everyone loves... thanks for all the laughs. You are a true legend and The only celebrity death, I actually tried over.
🫡🥺🙏.. miss you mr. Perry... fly high and free my friend"
Fraser Young,0.0,"I got netflix about 5 months a go, and by that time i have watched this show about 30 TIMES I AM ADDICTED!!! It is by far the best tv series i have ever watched i am crying my eyes out that netflix are taking it off air!!! Best tv show ever!!!! This tv show had taught me some important things about friendship💙 Yes it had some adult humor but as a 12 year old it is also quite educational, and hillarious!!😂 Joey is the funniest and then Phoebe! Rachel (Jenifer Anision)  has became my celebrity crush! Followed by cortney cox obviously! If you havent started to watch this tv program then don't hesitate start now!!!💗💗💗💞💓💓"
Sivapriya Kamat,5.0,"No matter how many times u watch, it is as funny as the first time
I have lost count as to how many times I've watched this series. For me personally it is almost like therapy because whenever i feel sad or low, i watch Friends episode. 
Following are the reasons that make friends unique and a  masterpiece:
1. It is a sitcom that combines different types of comedy (sarcasm - mostly from chandler, quirky and comical - mostly from phoebe and joey, realistic - mostly from ross and rachel)
2. All 6 characters of the main cast are well developed. Each one of them has shown significant character growth throughout the series
3. Each one of the six main characters have unique and well developed dynamic with each one of the other 5. These are a treat to watch."
Jeevani Khorana,5.0,"I really like Friends because even when i'm sad they always manage to make me happy no matter. Even though i watched this show a couple thousand times it still manages to take me by surprise and make me laugh. No matter what people say, Friends is probably the best show that ever existed because even besides the humor it shows how much they care about each as if they were one person. It always happens in the show where they have family issues when they're real family is each other. Everyone has their opinion and this is my opinion saying how much i love friends and wish my life was like this."
Julián Lado,5.0,"One of the best sitcoms ever
After seeing every episode of this much loved sitcom i much say that the writers and cast have succeeded in making something that is not only humorous, but also forces you to care about the characters and what happens to them in the future. All six of the friends bring characteristics to the show that make the viewer feel like they know them. Each one of the characters is funny in their own way and due to the shows fast pace there is never a boring episode.

I will say however that towards the end Friends did start to lose what it had but, never the less was still very good. I started watching the show at series five but from then on i was hooked.

I recommend this sitcom to anyone and everyone."
wemeye dalu,0.0,"I hardy give reviews on shows! But friends is different! And in some ways very personal.  I started watching friends when I was in Junior high, I have gone on to get my undergrad and worked for close to four years, and FRIENDS is still undoubtedly the very best. Here is why I think it has stood the test of time; it’s list of directors are some of the best, James Burrows stands out for me, haven directed shows like CHEERS and FRASIER. The writing was very good, all six main characters where written well, even though there were moments when I felt Matt LeBlanc’s character could’ve been written better. The six season regulars, where directors actors! They brought everything to the character and allowed us to fall in love with them! And boy did We! Matthew Perry’s character was the funniest for me and David Schwimmer’s character had the best expressions! I’m sure I have watched each episode of friends at least a million times, hahahahaha. It’s the BEST of the BEST."
Siri T. Fauske,0.0,"NO JOKE, BEST TV SHOW IN THE WORLD!! HANDS DOWN, A PIECE OF ART!!! LOVE AND MORE LOVE TOWARDS THIS SITCOM!! 10/10 ALL THE WAY!! i could talk for hours of why this is the best tv show ever! i wont write too much, but i will say, im 1,000% glad and relieved that all 10 seasons were out before i was born. i literally cannot imagine having to wait for each season to come out and waiting to know what happened when ross said ""i take thee rachel."" or when phoebe was having the triplets. for the people who havent seen friends i wont spoil anything. if you're deciding whether to watch it or not, WATCH IT! i honestly dont know what was taking you so long to decide to watch it xD i watch this show almost everyday of my life!! xD best show ever!"
Satrughan Prasad,5.0,"This show is just awesome itself. I always saw my friends posting about it on stories, writing about how good it is. I always wondered why they were so crazy about a 1994 sitcom. What is so good about it??One day I saw my elder brother watching it and I asked him what is so funny and then he told me when you'll watch it you'll know it . One day I felt so bored and I had nothing to do. So I started scrolling on netflix and then I found ""Friends"" and then I started watching it boredom. As I was watching the 1st eoisode, I went on and on. I never laughed that hard for years and then I understood why everyone is so crazy about it. And now I myself is a crazy fan of this show. I love the way Joey flirt with girls and his iconic line""How gou doin??"",that particular line and hid expressions always make me laugh till I cry. I love every character on the show. I love Chandler for his sarcastic jokes, Monica for her discipkine and love, Rachel cod her naughtiness,flirty nature, Phoebe for her positive vibes, funand chill and Ross for his kind ,loving and caring nature. Oh God I can't stop writing about this show. I'll just reccomend that if you're stressed, bored,sad,happy watch this show .It's a whole mood changer"
Nadja Grujic,5.0,"In my opinion, this is the best sitcom ever! I love how every character is unique and funny. Rachel and Joey are my personal favorites but the rest are really great as well. My whole family has watched the entire show at least 50 times, and they all love it. Friends is just as fun to watch the first time, as it is the last. All of the seasons of the show are amazing. Me and my brother started watching the show when we were 10 years old, so i think it is perfectly fine for kids of that age to be watching it. Yes, it may have a few inappropriate scenes here and there, but most of it is pretty family friendly. 

Overall, this show has got good humor, good characters, and is very iconic. I highly suggest watching it, especially to people who like sitcoms."
Nathan Govender,5.0,"10000000000 ⭐️ stars! Excellent Show! just finished watching all 10 seasons and I loved it! Amazing Characters each with a different personality giving everyone someone to relate too! Love it! Love it! I would watch it again fro sure 💯💯 Everyone should watch this show during lockdown! I’m already feeling so disconnected after finishing it! It’s amazing! If you watch it you won’t go wrong for sure 😉 You will love everything the coffeehouse, Monica, Chandler, Joey, Ross, Rachel and Phoebe. Apartment 19 & 20 every single thing, just trust me and go watch it, F.R.I.E.N.D.S was the best tv show ever, after 25 years, it will always have a place in my heart ❤️"
Nafia Haque Muskan,5.0,"THE BEST SHOW EVER!!!!!!
F.R.I.E.N.D.S is the show which I can guarantee that it will make u laugh! FOR SURE!The best part of F.R.I.E.N.D.S is that u can literally click on amy episode and end up laughing which, also, makes it different from other shows. It sure contains some sad events but the sadness is balanced by adding something funny(unlike other shows). It has literally everything: friendships, relationships, and etc many more. The most amazing part of this show is it respected every kind of relationships like straight, gay back at that time. So in comedy, I personally dodon't think any tv series will ever be able to beat F.R.I.E.N.D.S"
Jessica Rowley,5.0,"“So no one told your life was gonna be this way” friends is a romantic comedy show that will keep you laughing for to the end. You may not like the word romantic, but it is about friendship, loyalty and sarcasm that will keep you laughing for days. It's not just comedy, it presents the episodes in such a way that one can truly identify with the situations they face so the audience has something to talk about in coffee shops too. The humour is universal. You will be following six reckless adults living in New York. Friends is a super smart sophisticated comedy that looks into the hearts and minds of the six amazing, over- the- top characters. There is nothing that can cheer me up like this show on a full day of endless work. The humour, the characters, the detail. I have watched every episode A LOT of times and yet I still laugh at the same joke. But don’t worry “I’ll be there for you!”"
Frager White,5.0,"This show is the best sitcom ever to be shown on tv. I didn't grow up with it but I had seen parts of it on youtube and I finally watched it. This show is so sad but at the same to so funny and beautiful and romantic. It's like the tv version of comfort food XD.

Chandler is so sweet. Everything about him is either funny or sweet, His victory dance, and his friendship with Joey, his on-off relationship with Janice, which finally turned off again. I love how he was brave enough to at least try and quit his job and smoke for his friends. He had a bad childhood but he turned around and began using jokes as a defense mechanism and tried his best to make a happy life for himself."
Jo Go,0.0,"Friends is an incredible sitcom! It mainly focuses on six main characters: Rachel (fashionista), Monica (organized), Chandler (comical), Joey (sweet), Phoebe (weird), and Ross (the Divorce Force). These characters represent all the people alive, each with their own characteristics. This show is especially amazing since there are touching moments as well as funny moments. These characters seem so real as they are not in an imaginary world. As they grow older, they face many of the challenges we have today and since there are no phones for texting, snap chatting, instagramming, etc. they talk so much and tell hilarious stories. There is always an ongoing plot so that the fan will continue to watch to find out but each episode, whether upsetting or downright hilarious has its own special quirks. There have been many imitations of this show but the expectations never live quite up to this show.
My favorite characters are:
1. Chandler (at his best from s2 to s6)
2. Joey (at his best from s3-s10)
3. Monica (at her best from s1 to s7)
4. Phoebe (at her best from s1-s3, s7-s8)
5. Rachel (at her best from s1-s3, s9)
6. Ross (at his best s1, flashbacks)"
Mahzabin Khan,5.0,"Phoebe, having such a bad childhood with her father leaving her as soon as she was born, mother dying from suicide and her suffering in poverty with lack of any affection but yet struggles outta it and turns out to be so optimistic and happy. It will teach you that no matter how your life is, happiness solely depends on yourself and the way you perceive it. She is so quirky and weird in a good way it will basically make you wanna lead her life. 

Rachel, being the spoiled child of a doctor but leaving every leisure and silver spooning behind, she comes to NYC and starts her life afresh. Also her character development throughout the whole season, how she was a waitress at first and finally achieved her dreams being so successful in fashion industry and adapting with every situation that came in her way will teach you it's okay to start your life newly! And you need to blow in order to grow. (xD) And it makes us realise what Monica meant to Rachel while welcoming her to home in the 1st episode, ""Welcome to the real life. It sucks! But you are gonna love it.""
It is all about the situations and complications from their daily life, their job/dating life/career/personal life and friendship. How they handle them, how they love each other and stand by each others side no matter what! What sacrifices they make for each others happiness. It is so simple yet so amusing! You will never get bored of watching it. I have never given any reviews before but this sitcom just touches your heart and all the characters rooted to it. It is my 2nd time watching this sitcom. I have replayed all the 10 seasons twice but still when it's about to end, it feels like they are taking a piece of your heart with them!"
Isabella Turner-Garcia,5.0,"Friends is the best show i have ever watched. It is so funny. Please make a friends reunion.

Monica-
Is so pretty. Whatever she wore she looked amazing in.

Rachel-
Is so pretty. She has never stopped being pretty. Jennifer is my Fave actress. If i had one dream that would be to meet Jennifer Aniston.

Chandler- 
Is so funny. He's jokes never get old

Joey-
He is funny in his own way.

Phoebe-
is kind.

Ross-
Is to smart which makes it funny as well as seeing everyone reacting.

F.R.I.E.N.D.S-
was such a big hit. It is a great show they have to make more seasons. Make your fans happy and make more friends season.
What happened to Ben and Emma
What happened with Ross and Rachel
What happened with the apartment
What happened to Monica and Chandler
What happened to Monica and Chandler's Twins

That is what friends fans want to know 

#LoveFriends
#JenniferAniston
#MatthewPerry
#CourtneyCox
#MattLeBlanc
#LisaKudrow
#DavidSchwimmer
#LoveFriends
#FriendsReunion
#MonicaGeller
#RossGeller
#RachelGreen 
#JoeyTribbiani
#ChandlerBing
#PheobeBuffay
#FriendsForEver
#FriendsLovers
#MoreFriends
#Friends"
Durgesh shukla,0.0,"Today I just saw the last episode of friends and I gonna miss this show. I have seen many TV shows but this is the one which gave me most smile, laughter and enjoyment. Now I know why do people love friends this much. This is an awesome show which make you feel happy. Miss you guys. I would like to thank the whole team of FRIENDS for making this awesome show. These 6 people have always been on the set and they are incredible in their characters, Monika, Rachel, Pheobe, Joey, Chandler & Ross. Love you guys. And the team behind the camera a big round of applause for you guys. I am writing this in 2018 so you can understand how good is this show that people are still loving this. Thank you guys"
Aleesha,0.0,"When I started watching friends, I couldn't even believe that it was casted 20 years ago. It is and will always be my favorite. Ross is a three times divorced person. He is a very caring person. His sister Monica Geller is a perfectionist. She always takes in charge of things. Rachel Green is a sweet lady who sometimes couldn't recognize her soulmate when he was around her. Joey Tribbiani funny and always support you. Chandler Bing is funny, caring person. Phoebe Buffay a crazy, caring, creepy kind of person,  in a good way. Everyone will wish to have friends like them. ""I'll be there for you"" freshen our mind before the episode. No other sitcoms have even come near a little bit close to F. R. I. E. N. D. S.
Character ranking'
1.Chandler Bing
2.Joey Tribbiani
3.Ross Geller
4.Rachel Green
5Monica Geller
6.Phoebe Buffay
Don't miss this"
Shruti Singh,5.0,"Best sitcoms of all time.
Such an outstanding, amazing, fantastic, and hilarious show.this show is a rollercoaster of friendship, love, emotions, feeling and so many things.this show would actually taught you what friendship is about.there are '6' F.R.I.E.N.D.S in the show who always stand together for each other no maater what.these 6 characters are totally different from one another and each one make you laugh. every character have his own and very unique personality which I like the most.i know there are many episodes and I was also confused earlier should I watch or not but trust me when you will start watching it you won't stop.

Highlyyyyyyyyyyy recommended."
Alexa Creasey,5.0,"This Tv show is the best sitcom ever. I remember when it first came to Netflix 5 years ago and my elder sister was watching it she got me to watch it and I thought i would hate it but I loved it and i love the cast of friends watching their friendship grow beautifully over 10 seasons was a pleasure to watch. the comedy itself is top-notch and very entertaining despite some jokes being old. I've watched it 4 times now all the way through and each time is wonderful to watch now and again. The characters Rachel, Monica, Phoebe, Chandler, Joey and Ross are brilliantly written well and props to the cast who made this wonderful show for the fans."
Jamie Bonk,5.0,"There's a show I watch call FRIENDS. I absolutely love that show. I laughed, cried. Friends are very important to you in life besides your family. When you have a problem with something your friends are there for you no matter what you going through, especially hard times. That is the point of being a friend. Thanks to the actors who get along very well in the show. I love the whole cast. Monica Geller, Ross Geller, Rachel Green, Chandler Bing, Phoebe Buffay, and Joey Trribain have a awesome relationship in the show and off set too. They are a family. My friends are very important to me. The cast are very important to me they are like best friends to me. They could understand what I am going through. They are a great team. All thanks to Courtney Cox, David Schwimmer, Jennifer Aniston, Matthew Perry, Lisa Kudrow, and Matt LeBlanc for being a awesome cast. Thanks to Marta Kauffman and David Crane who created this show. Friends would not be a show without these 2 amazing creators."
remy gladson,5.0,"It's literally the best show ever with lots of melodrama, romance and comedy. An even mixture of said elements keeps the viewer hooked to the screen and left wanting for more. There is a fantastic balance of humour and seriousness flooding the atmosphere when ever one watches the show leaving you anxious and sometimes gives you the relief you wanted. I find this show so relaxing to watch especially whenever I come home from a hard day of work. Just watching Joey's stupidity or Chandler's humour or Ross's seriousness,Rachel's carelessness, Monica's emaculatenes and finally Phoebe's crazy behaviour cracks me up whenever and wherever. If you're just wanting to start watching some sitcom, I would suggest you start with Friends. Trust me, you won't regret it. ❤️"
Bebe Weter,5.0,"This show is perfection. People have said that this show was a parody off of Living Single, but what this show and Living Single don't have in common is that there is diversity in this Friends compared with Living Single, it's just only black people (which is sort of a cliche if you ask me. The show also gets boring bc it's just another show about living in the hood)  

Friends always challenged the stereotypes of what life is like and was always breaking boundaries when it came to their story lines and helped many people in the world who were struggling with their own problems, Friends manage to pull them out of their funk and put a smile on their faces cause the show was almost representing what real life would be like when we get into our 20s. ( Minus the rent controlled apartment, and amazing jobs, and exciting love life.) It showed that no matter how hard life is, Friends will be there to pick you up and help you gain the courage to after in what you believe in."
Abhijit Basak,0.0,"Ooo I just finished the greatest sitcom ever made.ok,not just me ,me and my partner watched it together.And its one of the best thing that happened to us.It made us laugh and cry ....and we have gone through a range of emotions in the span of ten seasons of the show.
Friends shows us to not take our life too seriously and sometimes enjoy the small moments.every character of this show gave us some life lessons.
My better half and I both watch very different kind of shows .It is the only show that we both loved .And that's the beauty of friends.
I would recommend you to watch it with someone you love and this will give you a new meaning of love, I bet you that.
Best of luck from Diya and Abhi"
kerala blasters,5.0,"Friends is number first sitcom that I've ever seen.those six characters has shown the perfect friendship and caring for each others which makes it more special. it can bring a very good relaxation even in the toughest situation when we watching it. every time i watch it i feel more relaxed and it also helped me when i am going through depression.Till now i cannot believe how they managed the whole series just in three apartments and a coffee shop. And b y the way it is a lot funny actually.without any doubt i can say that it is my ""favorite series"".love the friends.it can make you laugh even in the hardest situations"
Rao Zeeshan Afzal,5.0,"I think it is one of the best play that you will ever watch. The feelings they had for each other were just breathtaking.The relationship among the friends was full filled with love, care and fun. They go through a lot of upps and downs but they had never jeopardized their friendship at any cost. There is no masquerading in the show, everyone had perfectly done its job. The direction, story, screenplay and production also deserves an applause for creating such a masterpiece. In short this sitcom is worth watching."
adiba zehra,5.0,"BEST THING EVER HAPPENED IN MY LIFE.
It is the best sitcom ever.MUST WATCH.
i love the way how their life has been represented and the characters are amazing.
its not just some comedy mystical series, yeah there are some of the things which are really hard to believe but the show is filled with reality on other side.
The series clearly shows that LIFE IS NOT PERFECT ALL THE TIME, YOU HAVE TO FIND A WAY OR ANOTHER TO OVERCOME THE PROBLEMS AND SOMETIMES HAVE TO IGNORE SOME FREAKING SMALL THINGS.
The end is heart wrenching ,i didn't want it to end but..........  :))"
Anjana Raman,5.0,"This sitcom is the greatest of all time. It has characters you love right from the start, funny lines, warm, cozy sets, and such an aura of love and friendship. This show has touched so many people’s lives, and will certainly make a mark on yours. These people have a way of making you feel like one of them. You feel like you’re accompanying them on their daily trips to Central Perk, lounging on the recliners with Chandler and Joey, and laughing and joking along with the six Friends. The plot is hilariously funny, includes plot twists you’d never expect, and paint all six characters’ personalities in the best light possible. This show is amazing and so, so, uplifting. It is truly a blessing to watch."
Vaishnavi Saxena,0.0,"#TBH, I had never loved a sitcom that much that i cry at the ending of it.I really did, I was crying when Phoebe got married , I  cried with happy tears btw, but on the episode when ..... o forget it, I don't want to spoil anything for the viewers who are going to  to watch this beautiful sitcom for the first time...... but once if you watch this you'll never get bore of it and it will remain in your heart forever. I want to thank those six characters to make us laugh Matt Leblanc[Joey][he don't share food],Matthew Perry[Chandler][could he BE more sarcastic],Jennifer Aniston[Rachel][NOOOO!!!!!],Courtney Cox[Monica][I know!!!!],Lisa kudrow[phoebe][oh noo!],David schwimmer[Ross][I'll take the Rachel,... Emily, my dinosaurs e.t.c]
the side actor Gunther, Janice, mike .... i remember only these if you know other please tell me it been four years,I didn't watched friends 
That's all , I could say.....
I LOVE F.R.I.E.N.D.S"
Kristy Schultz,5.0,"""if you plan on living a peaceful, happy life...you must learn how to love whomever you choose to spend your time with. As a world class athlete, i spend hourss each day training alone.My habits, my choices, my priorities remain in revolving myself with my horse. often i am running at 3 a.m alone in the dark.y point is that being my own best friend is vital, Friends came about during some of the greatest time in my life. i was happily married with two small kids, we loved to watch Friends each thursday nights. so, during my relation time.... watching the show makes me feel as though thet are my friends. i would rather be alone watching friends, than being with anyone who might deter me from making choices of a champion. love the show!"" kristy schultz"
Vaidik Vandra,5.0,"Great show ever made, it carries with it a rush of all the human emotions possible for a person to live in entire life.
Laughter
Caring
Happiness
Sadness
Anger
Love
Honesty
Sympathy
Integrity
Wierdness
& Much more even when time pass all the way this show will never get old for generations to come will watch and learn many things from this show.

The craftmanship of the characters that the story revolves around are mainly the six friends living in New York sharing their small world and living happily forever and always support each other and are there for each other.
 
Best show ever made and broadcasting community must consider it streaming all the way around the world through Television medium again."
Divya devoo,0.0,"This show is love ❤️
Cracks you up when you are going through a bad day or a bad phase plus it is relatable you can repeat it like a million times you would laugh hard even when you know what and which joke is coming up. It's nostalgia it's fun it's amazing
It has pure and simple comedy generally banters between friends. From Jennifer Aniston's hair do to janice's laugh or oh my God or Monica's I know!!! Or any of Chandler's sarcastic comments. This show has it all and when you have finished watching it entirely the only thing you would is to watch it again because it gets better and better everytime. 
I would suggest it to anyone regardless of gender, nation,race this is pure comedy and no wonder it is rated one if the best and popular sitcome ever"
