authors,ratings,comments,processed_comments,final_comments,sentiment_scores,sentiment_label,enhanced_sentiment_scores,enhanced_sentiment_label,is_sarcastic
kesavani netheti,5.0,i can say words fail to express wt exactly f r i e d s is for viewers it is not a series but an emotion the best show one can ever try and watch it when one feel alone just go and watch friends sure we get the feel wow i have 6 beautiful and crazy friends from friends to make my day friends,i can say word fail to express wt exactly f r i e d s be for viewers it be not a series but an emotion the best show one can ever try and watch it when one feel alone just go and watch friends sure we get the feel wow i have 6 beautiful and crazy friends from friends to make my day friends,say word fail express wt exactly f r e viewers series emotion best show one ever try watch one feel alone go watch friends sure get feel wow 6 beautiful crazy friends friends make day friends,"{'neg': 0.142, 'neu': 0.378, 'pos': 0.479, 'compound': 0.9623}",positive,"{'neg': 0.142, 'neu': 0.378, 'pos': 0.479, 'compound': 0.9623, 'sarcasm': False}",positive,False
"EDEM, DENISE GABRIELLE O. (denise)",5.0,literally the best tv show exist periodt when it hasnt been your day your week your month or even your year this show will always be there for you no matter how many times have i watched this this show will always make me happy this show may have ended 16 years ago but it still remains is my heart where it belongs,literally the best tv show exist periodt when it hasnt be your day your week your month or even your year this show will always be there for you no matter how many time have i watch this this show will always make me happy this show may have end 16 years ago but it still remain be my heart where it belong,literally best tv show exist periodt hasnt day week month even year show always matter many time watch show always make happy show may end 16 years ago still remain heart belong,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.8402}",positive,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.8402, 'sarcasm': False}",positive,False
Felicity Wornes,5.0,i have watch all 10 seasons at least 4 times already and it is the best sitcom i have ever seen i am 13 and i am quite an old soul so i find these kinds of shows hilarious every time i sit down on the couch i always turn on friends 100000 recommend,i have watch all 10 season at least 4 time already and it be the best sitcom i have ever see i be 13 and i be quite an old soul so i find these kinds of show hilarious every time i sit down on the couch i always turn on friends 100000 recommend,watch 10 season least 4 time already best sitcom ever see 13 quite old soul find kinds show hilarious every time sit couch always turn friends 100000 recommend,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.91}",positive,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 1.0, 'sarcasm': False}",positive,False
Manu S,5.0,omg i cant believe i just finished the all episodes after watch the last episode i really felt i am going to miss something its was the best best sitcom ever saw i love all the characters each and everyone is more than outstanding i am again  gonna watch the show from the beginning ,omg i cant believe i just finish the all episodes after watch the last episode i really felt i be go to miss something its be the best best sitcom ever saw i love all the character each and everyone be more than outstanding i be again gon na watch the show from the begin,omg cant believe finish episodes watch last episode really felt go miss something best best sitcom ever saw love character everyone outstanding gon na watch show begin,"{'neg': 0.046, 'neu': 0.544, 'pos': 0.41, 'compound': 0.9496}",positive,"{'neg': 0.046, 'neu': 0.544, 'pos': 0.41, 'compound': 1.0, 'sarcasm': False}",positive,False
Louise Gabrielle,5.0,my favorite us tv sitcom  discovered it during the pandemic and it saved me from a lot of dark times missin you so much my chandler bing if you are looking for a sign to watch friends then this is your sign go watch it nowww ,my favorite us tv sitcom discover it during the pandemic and it save me from a lot of dark time missin you so much my chandler bing if you be look for a sign to watch friends then this be your sign go watch it nowww,favorite us tv sitcom discover pandemic save lot dark time missin much chandler bing look sign watch friends sign go watch nowww,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.8519}",positive,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.8519, 'sarcasm': False}",positive,False
marzan ahsan 6,5.0,"this series is awesome everytime everyday i watch i love it friendstvshow
1chandler bing so funny smart awesome i make joke when im unfortable 
2monica geller so beautiful smart clean i know 
3joey tribbiani so smart so acting   how you doin
4rachel green so good smart outfits we were on a break 
5ross geller so awesome smart love acting we were on a break
6phoebe buffay smelly cat  smelly cat its not your fault  ",this series be awesome everytime everyday i watch i love it friendstvshow 1chandler bing so funny smart awesome i make joke when im unfortable 2monica geller so beautiful smart clean i know 3joey tribbiani so smart so act how you doin 4rachel green so good smart outfit we be on a break 5ross geller so awesome smart love act we be on a break 6phoebe buffay smelly cat smelly cat its not your fault,series awesome everytime everyday watch love friendstvshow 1chandler bing funny smart awesome make joke im unfortable 2monica geller beautiful smart clean know 3joey tribbiani smart act doin 4rachel green good smart outfit break 5ross geller awesome smart love act break 6phoebe buffay smelly cat smelly cat fault,"{'neg': 0.033, 'neu': 0.376, 'pos': 0.592, 'compound': 0.9928}",positive,"{'neg': 0.033, 'neu': 0.376, 'pos': 0.592, 'compound': 1.0, 'sarcasm': False}",positive,False
Neeharika Sanjeevappagari,5.0,its the best series i have ever seen it made me laugh and cry each and every character is awesome especially chandler and joey are my favourites i have watched several times but it never fails to make me laugh my biggest stress buster,its the best series i have ever see it make me laugh and cry each and every character be awesome especially chandler and joey be my favourites i have watch several time but it never fail to make me laugh my biggest stress buster,best series ever see make laugh cry every character awesome especially chandler joey favourites watch several time never fail make laugh biggest stress buster,"{'neg': 0.143, 'neu': 0.412, 'pos': 0.445, 'compound': 0.9253}",positive,"{'neg': 0.143, 'neu': 0.412, 'pos': 0.445, 'compound': 1.0, 'sarcasm': False}",positive,False
Dhruv Champaneriya,5.0,"all time favourite greatest sitcom ever made i am obsessed with the show and the characters all the actors have played their character extraordinarily totally worth watching
you can relate them watch it with your friends surely you all gonna love it ",all time favourite greatest sitcom ever make i be obsess with the show and the character all the actors have play their character extraordinarily totally worth watch you can relate them watch it with your friends surely you all gon na love it,time favourite greatest sitcom ever make obsess show character actors play character extraordinarily totally worth watch relate watch friends surely gon na love,"{'neg': 0.054, 'neu': 0.433, 'pos': 0.513, 'compound': 0.9516}",positive,"{'neg': 0.054, 'neu': 0.433, 'pos': 0.513, 'compound': 0.9516, 'sarcasm': False}",positive,False
Olivia Bayerl,5.0,so funny be ready to laughcry and just feel shocked friends will give you drama love storiestoxic oneshealthy ones funny moments you never forget oh and meet joey the womaniserchandler the sarcastic guyross the funny guy with angry issuesphoebe the kind weird girlmonica the strict clean girl and rachel the typically girl,so funny be ready to laughcry and just feel shock friends will give you drama love storiestoxic oneshealthy ones funny moments you never forget oh and meet joey the womaniserchandler the sarcastic guyross the funny guy with angry issuesphoebe the kind weird girlmonica the strict clean girl and rachel the typically girl,funny ready laughcry feel shock friends give drama love storiestoxic oneshealthy ones funny moments never forget oh meet joey womaniserchandler sarcastic guyross funny guy angry issuesphoebe kind weird girlmonica strict clean girl rachel typically girl,"{'neg': 0.166, 'neu': 0.38, 'pos': 0.454, 'compound': 0.9491}",positive,"{'neg': 0.166, 'neu': 0.38, 'pos': 0.454, 'compound': 0.9491, 'sarcasm': False}",positive,False
Lakshmi Nandana,5.0,a gripping sitcom keeps you laughing the jokes are just hilarious and the characters are played to perfection the script is written just perfect and i recommend this to anyone who just wants a good laugh with cliffhangers love the show and do hope you watch it too,a grip sitcom keep you laugh the joke be just hilarious and the character be play to perfection the script be write just perfect and i recommend this to anyone who just want a good laugh with cliffhangers love the show and do hope you watch it too,grip sitcom keep laugh joke hilarious character play perfection script write perfect recommend anyone want good laugh cliffhangers love show hope watch,"{'neg': 0.0, 'neu': 0.219, 'pos': 0.781, 'compound': 0.9869}",positive,"{'neg': 0.0, 'neu': 0.219, 'pos': 0.781, 'compound': 0.9869, 'sarcasm': False}",positive,False
Ojasva Soni,5.0,its the best  you are missing something very great if u havent watched it  the funniest series ever  if you want to watch dont think another second  just do it u wont regret this thing has my heart ,its the best you be miss something very great if u havent watch it the funniest series ever if you want to watch dont think another second just do it u wont regret this thing have my heart,best miss something great u havent watch funniest series ever want watch dont think another second u wont regret thing heart,"{'neg': 0.154, 'neu': 0.441, 'pos': 0.405, 'compound': 0.813}",positive,"{'neg': 0.154, 'neu': 0.441, 'pos': 0.405, 'compound': 0.813, 'sarcasm': False}",positive,False
saman karimabadi,5.0,"i think this series is funny and cool in the beginning and you can fall in love with each of these characters
but very deep and small concepts of friendship respect mutual understanding can be learned from it and while all these concepts are very deep and should be described as such how did they understand these things and i admit that this movie is and will be the best series in the history of badakh
and i can watch it again after two full viewings
i love you all",i think this series be funny and cool in the begin and you can fall in love with each of these character but very deep and small concepts of friendship respect mutual understand can be learn from it and while all these concepts be very deep and should be describe as such how do they understand these things and i admit that this movie be and will be the best series in the history of badakh and i can watch it again after two full view i love you all,think series funny cool begin fall love character deep small concepts friendship respect mutual understand learn concepts deep describe understand things admit movie best series history badakh watch two full view love,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.9766}",positive,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.9766, 'sarcasm': False}",positive,False
Azka Fazal_10,5.0,if you like comedy and not dark comedy which is super rare in this generation youll love this show its the best comedy show ever i just love it and its not just comedy but the friendship of 6 of them is loveeeee i would really recommend to watch it its really good,if you like comedy and not dark comedy which be super rare in this generation youll love this show its the best comedy show ever i just love it and its not just comedy but the friendship of 6 of them be loveeeee i would really recommend to watch it its really good,like comedy dark comedy super rare generation youll love show best comedy show ever love comedy friendship 6 loveeeee would really recommend watch really good,"{'neg': 0.0, 'neu': 0.241, 'pos': 0.759, 'compound': 0.989}",positive,"{'neg': 0.0, 'neu': 0.241, 'pos': 0.759, 'compound': 0.989, 'sarcasm': False}",positive,False
meseret kidane,5.0,it is the best tv show ever  its my favorite show my only show  im in love with friends no one will be able to understand my love for friends there never has been a day in my life that i havent watched friends since i started watching it i know that i rewatched each episode of friends at least 200000 times since i started watching it and i know for a fact that i have been watching it for nine years i still remember my age when i first started watching friends  friends is my passion my devotion my love and my life  what i need is some friends friends who can understand my love for the show friends,it be the best tv show ever its my favorite show my only show im in love with friends no one will be able to understand my love for friends there never have be a day in my life that i havent watch friends since i start watch it i know that i rewatched each episode of friends at least 200000 time since i start watch it and i know for a fact that i have be watch it for nine years i still remember my age when i first start watch friends friends be my passion my devotion my love and my life what i need be some friends friends who can understand my love for the show friends,best tv show ever favorite show show im love friends one able understand love friends never day life havent watch friends since start watch know rewatched episode friends least 200000 time since start watch know fact watch nine years still remember age first start watch friends friends passion devotion love life need friends friends understand love show friends,"{'neg': 0.0, 'neu': 0.415, 'pos': 0.585, 'compound': 0.9955}",positive,"{'neg': 0.0, 'neu': 0.415, 'pos': 0.585, 'compound': 0.9955, 'sarcasm': False}",positive,False
Kathya Filella,5.0,i loved it if you are a person who loves friendship type of shows or are searching for something new to watch and are looking for a little laugh and at the same time cry  then this is the show for you two thumbs up highly recommend,i love it if you be a person who love friendship type of show or be search for something new to watch and be look for a little laugh and at the same time cry then this be the show for you two thumb up highly recommend,love person love friendship type show search something new watch look little laugh time cry show two thumb highly recommend,"{'neg': 0.083, 'neu': 0.409, 'pos': 0.508, 'compound': 0.9389}",positive,"{'neg': 0.083, 'neu': 0.409, 'pos': 0.508, 'compound': 0.9389, 'sarcasm': False}",positive,False
mustafa mahmoodi,5.0,"i just finished friends for the third time which usually dont see any series more than one time
the comedy timing story telling everything is so perfect that when you start watching this series you start thinking that you are a apart of this friends circle and at the end it feel bad that these 6 friends become older like for 10 years and it get finished but no regret i suggest everyone who is reading my comment to watch this masterpiece",i just finish friends for the third time which usually dont see any series more than one time the comedy time story tell everything be so perfect that when you start watch this series you start think that you be a apart of this friends circle and at the end it feel bad that these 6 friends become older like for 10 years and it get finish but no regret i suggest everyone who be read my comment to watch this masterpiece,finish friends third time usually dont see series one time comedy time story tell everything perfect start watch series start think apart friends circle end feel bad 6 friends become older like 10 years get finish regret suggest everyone read comment watch masterpiece,"{'neg': 0.103, 'neu': 0.537, 'pos': 0.36, 'compound': 0.9413}",positive,"{'neg': 0.103, 'neu': 0.537, 'pos': 0.36, 'compound': 1.0, 'sarcasm': False}",positive,False
Zdenka Kaurić,5.0,the friends are one of best series i ever see they were filmed before a lot of time but they are still  famous i love friends so much and i watched them like a milion times 5 stars they are great,the friends be one of best series i ever see they be film before a lot of time but they be still famous i love friends so much and i watch them like a milion time 5 star they be great,friends one best series ever see film lot time still famous love friends much watch like milion time 5 star great,"{'neg': 0.0, 'neu': 0.398, 'pos': 0.602, 'compound': 0.969}",positive,"{'neg': 0.0, 'neu': 0.398, 'pos': 0.602, 'compound': 0.969, 'sarcasm': False}",positive,False
Darlene Kephart,5.0,i sure learned more getting to meet them and also treasure the times in front of them and keep the faith a smiles miles of traveling different jobs be ready and plenty of coffee be fair well im staying alive because were all not in at same times and vacations i see the face painting even on my mug miss everyone a red head darlene kephart and magic all the real people renesance are available gypsies,i sure learn more get to meet them and also treasure the time in front of them and keep the faith a smile miles of travel different job be ready and plenty of coffee be fair well im stay alive because be all not in at same time and vacation i see the face paint even on my mug miss everyone a red head darlene kephart and magic all the real people renesance be available gypsies,sure learn get meet also treasure time front keep faith smile miles travel different job ready plenty coffee fair well im stay alive time vacation see face paint even mug miss everyone red head darlene kephart magic real people renesance available gypsies,"{'neg': 0.03, 'neu': 0.612, 'pos': 0.358, 'compound': 0.9403}",positive,"{'neg': 0.03, 'neu': 0.612, 'pos': 0.358, 'compound': 1.0, 'sarcasm': False}",positive,False
Sharayu Jakhotiya,5.0,hands down my favorite show ever i dont have words to describe how this show has helped me get through difficult times i love every character and every episode of friends thank you for a great show,hand down my favorite show ever i dont have word to describe how this show have help me get through difficult time i love every character and every episode of friends thank you for a great show,hand favorite show ever dont word describe show help get difficult time love every character every episode friends thank great show,"{'neg': 0.065, 'neu': 0.339, 'pos': 0.595, 'compound': 0.9652}",positive,"{'neg': 0.065, 'neu': 0.339, 'pos': 0.595, 'compound': 1.0, 'sarcasm': False}",positive,False
Adwait Datar,5.0,theres no words to express my feelings to this showjust watched the last episode of friends and cried a hell out in my roomit was the the most emotional feeling happened in my entire life till nowplease watch this seriesthis is not just the seriesits lovethanks friends for making my quarantine cheerful and happyit would change your lifestill tears falling apart from my eyesi cant believe am never gonna see them again in the coffee shop,theres no word to express my feel to this showjust watch the last episode of friends and cry a hell out in my roomit be the the most emotional feel happen in my entire life till nowplease watch this seriesthis be not just the seriesits lovethanks friends for make my quarantine cheerful and happyit would change your lifestill tear fall apart from my eyesi cant believe be never gon na see them again in the coffee shop,theres word express feel showjust watch last episode friends cry hell roomit emotional feel happen entire life till nowplease watch seriesthis seriesits lovethanks friends make quarantine cheerful happyit would change lifestill tear fall apart eyesi cant believe never gon na see coffee shop,"{'neg': 0.137, 'neu': 0.661, 'pos': 0.202, 'compound': 0.3818}",positive,"{'neg': 0.137, 'neu': 0.661, 'pos': 0.202, 'compound': 0.3818, 'sarcasm': False}",positive,False
Paige Barker,5.0,this show is amazing it is really funny and sweet it is an amazing siccom ive been watching this show for i cant even remember well since i was born my mom watched it when i was a baby and so did i ig but this show is amazing i glad you guys took the time to read this and hope you have amazing day and a great week bai,this show be amaze it be really funny and sweet it be an amaze siccom ive be watch this show for i cant even remember well since i be bear my mom watch it when i be a baby and so do i ig but this show be amaze i glad you guy take the time to read this and hope you have amaze day and a great week bai,show amaze really funny sweet amaze siccom ive watch show cant even remember well since bear mom watch baby ig show amaze glad guy take time read hope amaze day great week bai,"{'neg': 0.033, 'neu': 0.416, 'pos': 0.551, 'compound': 0.9829}",positive,"{'neg': 0.033, 'neu': 0.416, 'pos': 0.551, 'compound': 0.9829, 'sarcasm': False}",positive,False
Ganesh,5.0,somethings never go out of heats and friends one such kind of show the progressive way of showing sensitive issues like lgbt relations obtaining motherhood without marriage adopting kids giving birth to others kids show hoe the society has been progressing over the years best of them is chandlers sarcasm friends is a bench mark for modern sitcoms and the show will be remembered for ages,somethings never go out of heat and friends one such kind of show the progressive way of show sensitive issue like lgbt relations obtain motherhood without marriage adopt kid give birth to others kid show hoe the society have be progress over the years best of them be chandlers sarcasm friends be a bench mark for modern sitcoms and the show will be remember for age,somethings never go heat friends one kind show progressive way show sensitive issue like lgbt relations obtain motherhood without marriage adopt kid give birth others kid show hoe society progress years best chandlers sarcasm friends bench mark modern sitcoms show remember age,"{'neg': 0.154, 'neu': 0.613, 'pos': 0.233, 'compound': 0.7487}",positive,"{'neg': 0.154, 'neu': 0.613, 'pos': 0.233, 'compound': 0.7487, 'sarcasm': False}",positive,False
Sadhin Mohd,5.0,"one of best series ever i had finished many series throughout but this is different it made me taught not only thrilling and lag series are there there are too entertainers 


i only hated episodr which the directore and writers telling the speech throughout the episode it make me crazy",one of best series ever i have finish many series throughout but this be different it make me teach not only thrill and lag series be there there be too entertainers i only hat episodr which the directore and writers tell the speech throughout the episode it make me crazy,one best series ever finish many series throughout different make teach thrill lag series entertainers hat episodr directore writers tell speech throughout episode make crazy,"{'neg': 0.143, 'neu': 0.597, 'pos': 0.26, 'compound': 0.5994}",positive,"{'neg': 0.143, 'neu': 0.597, 'pos': 0.26, 'compound': 0.5994, 'sarcasm': False}",positive,False
Arundhuti Sen _CSE,5.0,"friends isnt just any show it is a feeling youre happy watch it add some laughter youre sad watch it and trust me ull be smiling in no seconds either 

yes some say it doesnt have a very good storyline its just a bunch of six  people hanging out at a coffee shop well yes that is exactly what it is but it is showcased in a such a way that even youi everyone can feel it it has the feelings of reel moulded with reality in such a way that even after 10years it is still the most binge watched show

i love friends and that wouldnt change for anything 

love 
a friends fanatic",friends isnt just any show it be a feel youre happy watch it add some laughter youre sad watch it and trust me ull be smile in no second either yes some say it doesnt have a very good storyline its just a bunch of six people hang out at a coffee shop well yes that be exactly what it be but it be showcased in a such a way that even youi everyone can feel it it have the feel of reel mould with reality in such a way that even after 10years it be still the most binge watch show i love friends and that wouldnt change for anything love a friends fanatic,friends isnt show feel youre happy watch add laughter youre sad watch trust ull smile second either yes say doesnt good storyline bunch six people hang coffee shop well yes exactly showcased way even youi everyone feel feel reel mould reality way even 10years still binge watch show love friends wouldnt change anything love friends fanatic,"{'neg': 0.064, 'neu': 0.492, 'pos': 0.444, 'compound': 0.9854}",positive,"{'neg': 0.064, 'neu': 0.492, 'pos': 0.444, 'compound': 1.0, 'sarcasm': False}",positive,False
Shreya Yadav,5.0,"so no one told you live was gonna be this way
a must watch this show has all my heart the way they have portrayed love and friendship is just perfect",so no one tell you live be gon na be this way a must watch this show have all my heart the way they have portray love and friendship be just perfect,one tell live gon na way must watch show heart way portray love friendship perfect,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.8957}",positive,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.8957, 'sarcasm': False}",positive,False
Meri Polls,5.0,i personally love it so much its an amazing show and it cheers me up so much its sad that gunther died  but wow the actors have grown up so so much i didnt know that they were this old over all i love the show 333,i personally love it so much its an amaze show and it cheer me up so much its sad that gunther die but wow the actors have grow up so so much i didnt know that they be this old over all i love the show 333,personally love much amaze show cheer much sad gunther die wow actors grow much didnt know old love show 333,"{'neg': 0.179, 'neu': 0.333, 'pos': 0.487, 'compound': 0.9186}",positive,"{'neg': 0.179, 'neu': 0.333, 'pos': 0.487, 'compound': 0.9186, 'sarcasm': False}",positive,False
Rashmi Singh,5.0,"how i say about friends but i have never bored i wached three times all series but i want to watch more i love monica geller and how you doin ai love this line 

i wish i could watch season 11  because i have no friends even one so i watch friends so i feel cool and im happy while watching six all of them 

when i feel lonelyness that time i use to watch friends 
i bought friends tshirt and i loved it so so so much and if i will come america so must go to central park  coffee house",how i say about friends but i have never bore i wached three time all series but i want to watch more i love monica geller and how you doin ai love this line i wish i could watch season 11 because i have no friends even one so i watch friends so i feel cool and im happy while watch six all of them when i feel lonelyness that time i use to watch friends i buy friends tshirt and i love it so so so much and if i will come america so must go to central park coffee house,say friends never bore wached three time series want watch love monica geller doin ai love line wish could watch season 11 friends even one watch friends feel cool im happy watch six feel lonelyness time use watch friends buy friends tshirt love much come america must go central park coffee house,"{'neg': 0.0, 'neu': 0.495, 'pos': 0.505, 'compound': 0.9897}",positive,"{'neg': 0.0, 'neu': 0.495, 'pos': 0.505, 'compound': 0.9897, 'sarcasm': False}",positive,False
Priyanka V Nayak,5.0,this show is a hope when u think nothing else can ever make u smile trust me try thisits dream for everyone to have friends like this in the world out there where yeah they do know to spell friends but its hard to figure out who really know what it means n those who got friends u really dont know how lucky u are friends,this show be a hope when u think nothing else can ever make u smile trust me try thisits dream for everyone to have friends like this in the world out there where yeah they do know to spell friends but its hard to figure out who really know what it mean n those who get friends u really dont know how lucky u be friends,show hope u think nothing else ever make u smile trust try thisits dream everyone friends like world yeah know spell friends hard figure really know mean n get friends u really dont know lucky u friends,"{'neg': 0.077, 'neu': 0.386, 'pos': 0.537, 'compound': 0.9713}",positive,"{'neg': 0.077, 'neu': 0.386, 'pos': 0.537, 'compound': 1.0, 'sarcasm': False}",positive,False
Libin Thomas,5.0,this is the best sitcom ever made in the whole history i really feel so cheered up after seeing friends it is really awesome i love all the characters especially chandler bingmatthew perry i really wish we had more seasons,this be the best sitcom ever make in the whole history i really feel so cheer up after see friends it be really awesome i love all the character especially chandler bingmatthew perry i really wish we have more season,best sitcom ever make whole history really feel cheer see friends really awesome love character especially chandler bingmatthew perry really wish season,"{'neg': 0.0, 'neu': 0.413, 'pos': 0.587, 'compound': 0.9743}",positive,"{'neg': 0.0, 'neu': 0.413, 'pos': 0.587, 'compound': 0.9743, 'sarcasm': False}",positive,False
Dani NC Cali,5.0,to this day i love watching friends from beginning to end this show has been a part of my life since 1994 and now that matty is gone i will cherish these episodes even more and have cried so hard now that i know his struggles rest easy matty,to this day i love watch friends from begin to end this show have be a part of my life since 1994 and now that matty be go i will cherish these episodes even more and have cry so hard now that i know his struggle rest easy matty,day love watch friends begin end show part life since 1994 matty go cherish episodes even cry hard know struggle rest easy matty,"{'neg': 0.191, 'neu': 0.449, 'pos': 0.36, 'compound': 0.7906}",positive,"{'neg': 0.191, 'neu': 0.449, 'pos': 0.36, 'compound': 0.7906, 'sarcasm': False}",positive,False
claire hughes,5.0,this is my favourite show ever ive being watching it non stop since late 2018 its hilarious the plot is amazing the characters are amazing ive laughed so much ive almost died i cryed so much i became so dhiydrated its an amazing show and my favourite show i dont think u lived until you have watched a episode ive got the full boxet bed sheets a pillow posters every were monopoly and much more i love it,this be my favourite show ever ive be watch it non stop since late 2018 its hilarious the plot be amaze the character be amaze ive laugh so much ive almost die i cry so much i become so dhiydrated its an amaze show and my favourite show i dont think u live until you have watch a episode ive get the full boxet bed sheet a pillow posters every be monopoly and much more i love it,favourite show ever ive watch non stop since late 2018 hilarious plot amaze character amaze ive laugh much ive almost die cry much become dhiydrated amaze show favourite show dont think u live watch episode ive get full boxet bed sheet pillow posters every monopoly much love,"{'neg': 0.13, 'neu': 0.555, 'pos': 0.315, 'compound': 0.9242}",positive,"{'neg': 0.13, 'neu': 0.555, 'pos': 0.315, 'compound': 1.0, 'sarcasm': False}",positive,False
Aatman Modi,5.0,this is the funniest tv show i have watched till date i dont have enough words to tell how fantastic this show is i think everyone should see this show atleast once in their lifetime it cant be missed ,this be the funniest tv show i have watch till date i dont have enough word to tell how fantastic this show be i think everyone should see this show atleast once in their lifetime it cant be miss,funniest tv show watch till date dont enough word tell fantastic show think everyone see show atleast lifetime cant miss,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.8245}",positive,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 1.0, 'sarcasm': False}",positive,False
Fahim Rahimi,5.0,i watched bits of friends on facebook because every time i was using facebook it would appear again and again and i started loving it immediately i just said to myself i need to watch the whole 10 seasons and i did watch all the seasons and i am grateful that i found it on facebook it is the best tv show ever,i watch bits of friends on facebook because every time i be use facebook it would appear again and again and i start love it immediately i just say to myself i need to watch the whole 10 season and i do watch all the season and i be grateful that i find it on facebook it be the best tv show ever,watch bits friends facebook every time use facebook would appear start love immediately say need watch whole 10 season watch season grateful find facebook best tv show ever,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.9382}",positive,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 1.0, 'sarcasm': False}",positive,False
Elizaveta Suvorova,5.0,people who say friends is the worst well thats their opinioni am in love with this showwithout it life is boringbut thats only for me you might enjoy it dont be scared to watch something new but thats all you ive watched it many times and i dont grow old of it for me its the best show but you decide,people who say friends be the worst well thats their opinioni be in love with this showwithout it life be boringbut thats only for me you might enjoy it dont be scar to watch something new but thats all you ive watch it many time and i dont grow old of it for me its the best show but you decide,people say friends worst well thats opinioni love showwithout life boringbut thats might enjoy dont scar watch something new thats ive watch many time dont grow old best show decide,"{'neg': 0.169, 'neu': 0.545, 'pos': 0.286, 'compound': 0.6288}",positive,"{'neg': 0.169, 'neu': 0.545, 'pos': 0.286, 'compound': 0.6288, 'sarcasm': False}",positive,False
Mohammed Anwar Aman,5.0,best show in the history of comedy  no comedy show can replace friends every character is perfect specially joey and chandler they are the heart of show a must watch series for everyone  1010 thank god they coming with reunion in 2021,best show in the history of comedy no comedy show can replace friends every character be perfect specially joey and chandler they be the heart of show a must watch series for everyone 1010 thank god they come with reunion in 2021,best show history comedy comedy show replace friends every character perfect specially joey chandler heart show must watch series everyone 1010 thank god come reunion 2021,"{'neg': 0.0, 'neu': 0.48, 'pos': 0.52, 'compound': 0.9618}",positive,"{'neg': 0.0, 'neu': 0.48, 'pos': 0.52, 'compound': 1.0, 'sarcasm': False}",positive,False
Aaliyah Carranza,5.0,this is the best tv show ever even though i was only able to watch the first 3 seasons because of netflix taking it off thus show helped me feel better and laugh on suck dats and sad days im really upset i cant watch it but u wont give up,this be the best tv show ever even though i be only able to watch the first 3 season because of netflix take it off thus show help me feel better and laugh on suck dats and sad days im really upset i cant watch it but u wont give up,best tv show ever even though able watch first 3 season netflix take thus show help feel better laugh suck dats sad days im really upset cant watch u wont give,"{'neg': 0.201, 'neu': 0.497, 'pos': 0.303, 'compound': 0.6712}",positive,"{'neg': 0.201, 'neu': 0.497, 'pos': 0.303, 'compound': 0.6712, 'sarcasm': False}",positive,False
Sam Eisa,5.0,i watched this show bc of all the hype and i knew that is was gonna be funny but i wasnt sure if i liked it but i love this show it is so good and so funny i havent finished it yet but i know i will in the future if ur looking to brighten up your day watch this show its honestly one of my fave shows on netflix ,i watch this show bc of all the hype and i know that be be gon na be funny but i wasnt sure if i like it but i love this show it be so good and so funny i havent finish it yet but i know i will in the future if ur look to brighten up your day watch this show its honestly one of my fave show on netflix,watch show bc hype know gon na funny wasnt sure like love show good funny havent finish yet know future ur look brighten day watch show honestly one fave show netflix,"{'neg': 0.159, 'neu': 0.469, 'pos': 0.373, 'compound': 0.8767}",positive,"{'neg': 0.159, 'neu': 0.469, 'pos': 0.373, 'compound': 0.8767, 'sarcasm': False}",positive,False
Clara Anderson,5.0,i am 11 i have been watching this show back to back since i was eight i think its an amazing show with funny unique qualities it brings out your personality and your emotions great to watch with family friends and even strangers because it can bring you together its usually pgtv14 so if your kids are old enough and love shows like these definitely get them into a very lovable show,i be 11 i have be watch this show back to back since i be eight i think its an amaze show with funny unique qualities it bring out your personality and your emotions great to watch with family friends and even strangers because it can bring you together its usually pgtv14 so if your kid be old enough and love show like these definitely get them into a very lovable show,11 watch show back back since eight think amaze show funny unique qualities bring personality emotions great watch family friends even strangers bring together usually pgtv14 kid old enough love show like definitely get lovable show,"{'neg': 0.0, 'neu': 0.509, 'pos': 0.491, 'compound': 0.9799}",positive,"{'neg': 0.0, 'neu': 0.509, 'pos': 0.491, 'compound': 0.9799, 'sarcasm': False}",positive,False
