authors,ratings,comments
Quinn Gwalchmai,5.0,SKibidi toilet is an amzing and crazy ahh show. It so kai cenat sussy gussy rizz ice spice gyatt rizzler sigma male andrew tata baby gronk slay it makes my grimace shake wiggle Only in ohio luh calm five nights a freddys 3am  🔥 🗣❗🤑
Wunnerson,1.0,"This web series has changed my life, i am so happy. I have never wanted to point a gun at a particular circular head until now. Thank you! this web series really puts the Skibidi in ""self unconscious""!"
Jacob Regdos,5.0,This show changed my life for the better! I am so happy now! It is giving me motivation to unleash my dark side 😈. I am now a strong alpha. Wacth this show or i am going to use my dark powers on you!  Sigma alpha out!
Ybañez Tracy,5.0,"I love skibidi toilet, it changed my life. I was paralyzed for ten years from an accident. When I was in a restaurant I saw a kid watching skibidi toilet on his iPad, which inspired me to stand up take the iPad and smash it straight into his skull making him paralyzed. It allowed me to walk again and paralyzed someone else."
Mariah Cass (Alphabet lore p),1.0,This show is total junk I don't know what everyone sees in it I watched 20 seconds of it and I was bored to death it was a waste of time annoying orange the Stockholms or even battle for dream island is way more funnier and entertaining then this trash this is the only trend I hate and don't even get me started on the song I get a terrible headache everytime I hear one word of the song this ridiculous series has even gotten into my kids and I'm sick of seeing it all over the place there's all kinds of shows out there and everyone had to pick the most retarded most boring most tedious show on the whole planet something is wrong with you all I miss when squid game was the most popular show that was better than this monstrosity we replaced some of the most good shows for some of the most dumb shows I can't wait until everyone's obsession with this mistake is over I'm starting to think Dafuqboom put a curse in this show and now everyone is under a spell well I didn't fall for it I realize that this show is total garbage but guys if you like it then that's fine this is just my opinion the things I said about you guys being abnormal cuz you like it was just part of me stating my opinion but guys there's nothing wrong with liking it I just don't care for it at all not even a little bit and I don't like that my kids are into it but you guys think it's cool so don't let this comment get to you we all have the right to have different opinions it felt good writing this so I could tell the world what I personally think of it
Noodles Bobatea,1.0,"""I've never wanted to play Russian roulette with a full chamber as much as I did watching this beautiful masterpiece of freaking toilets with heads!!!""
This ""show"" is the literal definition of cringe. Istg If I ever hear another kid shout any words relating to this piece of trash, I'm gonna crash out."
Mitchell Kidd,5.0,This television show is just an absolutely marvelous creation. It is my favourite tv show to watch after a long day of pre-school with my sister Edmund. Thank you very much
PJMismySerendipity Moni,5.0,Greatest show to ever exist after pokemon unfortunately ended I was depressed until I was scrolling on YouTube shorts cuz I got bored and saw episode 10 and instantly fell in love with the show and ever since I was a true fan😃😃😃and don't forget to check it out and if you hate don't lie and thank you for your time.
Amir Dobbins,5.0,"By far the best series I’ve ever watched, you know. I always thought it was cringe, and. It was. Until Skibidi Toilet 48 everything got changed, the quality, the animation. Everything. This is peak content, highly recommend watching it."
Doc Whitty,5.0,"Very good quality best series in a while, quick question bluegray can you add a new race computerman in episode 79 I would love it that a fourth titan would be great. The color of the titans core  would be green and you could make it work with the secret agent for a whole story"
Trendon,5.0,"The latest episodes are fantastic, and especially impressive because it's all made by one person. There's even a compelling story now. It stopped being brainrot long, long ago"
Shahmir Ahmad,1.0,Man skibidi toilet is the WORST! This is so cringe and not funny. I am in 8th grade right now (2023-24 school year) and I heard a 5th grader passing me and screaming “SKIBIDI BOM BOM YES YES” and I died of cringe also my middle school is grades 5-8. Hopefully this garbage show will be dead in 2024.
Achintya Srivastava,5.0,"The lore and backstory is toooo good! The attention to detail about side characters is perfect! Just not sometimes... That is the only problem. Show more of the lore behind side characters, its a 5 star"
Nate Klan,5.0,"Very very intricate show. Casting is rather exceptional, with its high fantastic realism and many more factors; this show is willing to offset big hits such as Vince Gillian’s “Breaking Bad”, and David Benioff’s “Game of Thrones”."
Charles Crum,5.0,"Skibidi Toilet is the cutest thing I've ever seen. The curves are so sexy, and his smile is so hot. 10/10 will goon to this again"
Sammy Ruth,5.0,i love edging to skibi even when my parnts fight i gust keep on edging when my dad yells at me for not showering since may i gust edge on him. this GYATT to be the beat story in any other show ive wached its strait from Ohio with the RIZZY story so over all its a 1000000000000000000/10
Easton Marth,5.0,The skidide toilet series is the best series. Nothing can dafauboom! Should be my mother and is better than her but not better than my friend Logan the series has always I will be writing this review for my whole life and it is 👍🏻
Alpha Barrie,5.0,"Gabbidi golited is a baby gronk only in ohio oooh grimace shake sigma tiktok music for men, so GYATTTT skibidi on the ice spice rizzing up the nursing home, skibidi toliet is so sigma beta level fouuur its so blade ball and breaking point skibidi i love the skibidi goiltertrr work of art baby gronk in ohio"
Alec F,5.0,Super duper fun to watch! In a world with nothing but mass destruction. There lies two teams. Toilet team and camera team. There is also speaker team and TV team but they are a part of the camera team. But over all I say 10/10! :) :) :) :) :)
Ivan Ruiz-Aguilar,5.0,everyone in my class loves this🤑 everyone should watch Skibidi toilet.don't believe people who say it is bad they are just don't touch grass and don't take showers.🗣🔥you should watch Skbidi toilet it will change you life forever
Sonia Jaswal,5.0,So nice. Really funny. Highly recommended. The heads are so funny when they sing . LOVE IT. Plz don't shoe hate. Love from Australia
Reid Muller,5.0,This show is so ADDICTING. I never thought I would be interested in this. This is like better than most Disney movies! Who new that heads in toilets would be my most favorite show!!!
gman toilet,5.0,"Skibidi Toilet is

✓ Life-changing
✓ Informative 
✓ Inspiring 
✓ Heartwarming 
✓ Useful 
✓ Calming 
✓ Enjoyable 
✓ Entertaining
✓ Funny
✓ Educational
✓ Other


This is the best series ever created! I recommend this amazing masterpiece to every kid! Brrr skibidi dop dop dop yes yes skibidi dabudu neep neep skibidi dop dop dop yes yes skibidi dabudu neep neep!"
Callum Niven,5.0,"Lifechanging experience, i have ascended to a new level after witnessing this testament to god, this masterpiece should be in the bible, that's how holy it is, i will be contributing the next 20 years of my life to researching this beauty."
Tom Walker,5.0,"It's such a beautiful and well crafted story it's the most beautiful story i have ever seen in fiction, at the exact 5 second mark of episode 42 i shed a tear when it said "" dop dop yes yes """
Oaktopus idk,5.0,"Its actually a good show, the fight scenes are epic, the characters are pretty cool, the plot is interesting, and the fanbase contains actually decent people. My only complaint is that the content farms are really horrid but the creator can't really do much to prevent them."
Nanet Libo-on,5.0,Skibidi toilet is one of the best dafoq?boom! Had made one of the best series in YouTube many people said it's cringe or bad but for me it's pretty good one of the best series I have watch
Aria Barak,5.0,"There has been quite a lot of discussion about ""Skibidi Toilet,"" as art is always controversial at first. Skibidi Toilet is a massively popular and beautiful work of art, pushing the boundaries of modern creative work. I feel obligated to give it a five star review."
Alex Timmins,5.0,"Skibidi Toilet Is A Very Funny and Bad-Donkey Web Series Ever Made, Although Some Episodes Have Something That Kids Shouldn't Look at or Do, I recommend Skibidi toilet and the amazing digital circus too."
Dave Miller,1.0,"If anyone here posts a 5 star, they are either under the age of 5, or are mentally unstable.
Who wants to watch 69 episodes of a toilet with a random dudes head in it yelling ""SKIBITI DOO DOP DOP YES YES SKIBBITI DOBBLEDY YEEP YEEP"". it ain't funny anymore."
Mason Morse,1.0,Anyone over the age of five knows that Skibidi Toilet is not a work of art; rather it is a miserable show that isn't even funny. Skibidi Toilet is all about singing toilet heads. Why would someone want to watch this. Only crusty breast feeding I-pad kids watch Skibidi Toilet.
Megumin The archwizard,5.0,The best show on earth. It has lore. I like how short the videos are and it is not too long.
generalkenobi2010,2.0,"if you have watched this show, your dad has either left or he beats you while drinking a Jack Daniel's. If you let your children watch this, they will become drug addicts, mailny LSD and Cocaine and might put a rope aroun their necks at the age 24. But.............................. episode 77 was kinda peak......"
Aiden Weislogel,5.0,this video let the inner sigma demons inside of me come out. 🗿🗿 great job DaFuq!?Boom at making an insanely ohio rizzler gyatt series!
Seema Channe,5.0,Best series i have ever seen. And the action the cuirocity that what is going to come in the next episode.And as we have already completed the half century of episodes. Again the besy series.
Exterminatus Button,5.0,"The older generations seem to laugh at Gen Alpha for what they assume to be some corny meme about toilet humor. But if they are willing to see it, they would realize that they're the clowns and that Gen Alpha has been dining on fabulous content like GODS."
Techatat Piyawattanametha,1.0,"Skibidi Toilet, under the guise of contemporaneity, perpetrates a subtle malevolence, engendering an epoch devoid of sagacious reflection and basic manual adeptness. Its surreptitious erosion of foundational virtues portends a dystopian future where the fecundity of the human mind is compromised and the very essence of humanity is supplanted by the perfunctory rituals of a commodified lavatorial experience."
Melinda Lucas,1.0,Just talked to my 14 year old grandson— His opinion: “This junk should go in the toilet. It lets kids age 5 find stuff on their mom’s tablet so their brains can rot.”  Need we know more?
Jude Ower 2,5.0,"a breath taking explosive story with big suprises as the camraman take on the skibity toleits to save the world!
 must watch show."
Lucie Moore,1.0,All this show is is a whole bunch of scenarios that don't even make sense I let my 10 year old sibling watch all seasons of this show and now she acts like she's brain dead thanks who ever made this absolute piece of dog shit show
Manda Meragal,5.0,This is awesome but I think the new episodes are taking weeks to upload please try to reduce  2 or 3 days. I liked the speakerman dance and the new upgraded titan Cinemaman.
Will Reidy,5.0,It's good and my favorite character must be Titan Speaker man. It's awesome because camera people go to war with toilets.
Armond Hughes,5.0,"The first tine i watched this beautiful elegent tv show was the day i was a changed man thank you so much 


-Rizzard of Oz"
Farah Mansour,5.0,"skibidi toilet cured my depression!!! once it came up on the screen, i got out of my bed for the fikrst time in 8 months to turn it off 🥰"
Aalok Singh,5.0,It's the best series I've ever seen.... I am a biggest fan of this series and DaFauqboom♥️♥️👏✨️
Joel Richardson,5.0,"10/10 absolutely inspiring I want to be a skibidi toilet one day, also my head is now stuck in the toilet because I tried to become a skibidi. Pls send help my postcode is N1G G3R and the number is 420 send swat"
Surya Cheema,1.0,"Most Cringest, Weirdest show out there dont watch it. You are gonna get bullied in school if you tell anyone that you watch this show. This is only for kids that are 4."
Fahad P.V,5.0,"The best youtube series I ever seen
First it was very confusing videos then the newest episodes of skibidi toilet realesed and it was a masterpiece"
paul Rajasekar,5.0,"The story narration , minute details are at top notch and lots more . You can enjoy watching skibidi universe."
daddy chill,5.0,I think it is the best animation series ever and makes me feel like I am watching a movie by a famous director
Mason Lombardozzi,5.0,I like how this show started as a joke now it’s so much more it’s a really good series keep up the good work!
ashley cline,1.0,"very bad for children, do not watch this and also don’t let your kids watch it. Its the most atrocious thing ever created and should not exist !! 😛😛👍🏻"
ADAM PRESTON,5.0,skibidi dop dop in ohio at 3am challenge (GONE WRONG) adin ross stream kai cenat rizzing up baby gronk i took the the risk in ohio five nights at freddys movie at 3 am gone certified baddie 3am duke dennis rizzing up ice spice NEVER BACK DOWN NEVER WHAT
Jenson Zhang,5.0,"skibidi toilet is not only interesting, but it is entertaining and its storyline is pretty good. it is also really funny"
UTKARSH ʀᴀᴊ,5.0,"It is a nice show i want to say that it is  very intresting seeing a fight between toilets and cameraman, speakerman,tvman"
Jake Lee,1.0,"dude honestly, this is bs. toilets running around with a bunch of dudes and they scream like dogs and then transformers killing monkeys and stuff its a cluster of random stuff and is horrible. its all bs"
Archer Duffy,5.0,"10/10 series 



there is a storyline about the cameraman, speaker man, and TV men fighting Skibidi toilets, secrets, and trolls. 1-67 
The Titans have been injured.
are friend speaker man has almost died to the strider toilet
watch it now!"
Harry Pierce,5.0,Absolutely Amazing! 10 OUT OF 10. I love skibidi hehe
Jonathan Loza,5.0,"skibidi toilet is so hot by far my favorite actor to ever roam the earth, waiting for season 2 yipee!!! #igetbeatathome"
Atticus Coffey,5.0,life changing and innovative idea that made me cry on the second episode imo better than breaking bad
Carter Shaver,5.0,Art. The single greatest piece of modern western media ever conceived. Pure perfection.
Kumar Sujith,5.0,This is my favourite series  iam happy of his hard work  good it is very interesting thank you
salim shaikh,5.0,Oh Dude This Series Is Awesome 👌 I Daily Watch This Series I Love This Series 🤩🤩😘😘🥰🥰😍😍 Best Series In The World Best Animation Video ☺️
Owen Ford,1.0,I've never wanted to play Russian roulette with a full chamber as much as I did watching this amazing!!!
Abdul Awwab,5.0,10/5 amazing show reccomend good for anyone Chad's in the series and yt is also in the series
Dk Laney,4.0,"Honestly it's kinda underated it's not that bad of a show people only watch like the first then episodes of it and say ""brainrot"" but its not for kids so children shouldn't be watching it but overall it has deeper lore"
Antonio Almodovar,1.0,"This is awful. It was not entertaining, and it will shorten your attention span. Watch something else, or go outside. Awful “show”."
Cameron Vanbibber,5.0,"Skibidi toilet is awesome, all the haters should notice how much time it takes to animate this, 7 days for a 2 minute animation, isn't that crazy."
Angelomario Kristanto,5.0,"It is amazing and the storyline is so cool and don’t even tell me about the animations, it is so realistic"
Aaron Castillo,5.0,"The series is actually really good, the only reason people hate it is because their ignorance refuses to give it a try, please just watch it and I can assure your time will be worth watching this series made by dafuqboom."
Christopher Kamp,5.0,"Now this show is so astonishing!, MY TOP 3 AT LEAST, 10/10 do recommend for 5 year olds:)))))"
Karthika kathir,5.0,This is the most amazing animated show of all time credits to da fuq boom
Danny Jagrup,5.0,Skibidi toilet is cool and all. It's super good but takes a while for the storyline to show.
Mohammad Abraruzzaman,1.0,Thy have the sheer delight that has come between the toes of the sigma skibidi toilet fnaf lore
Iker Esteban,5.0,This gem is one of the best series there is and will continue to be so
Aryan Sharma,5.0,It is very intersecting show. I am very happy to saw this because it is very funny
Jasmin Lasquete,5.0,I love this series so much. Thanks to the creator
Gabriel Crigger,1.0,"I Hate This ""Show"" This is the literal definition of brain rot. Stop watching this, go outside, touch grass, and watch a real show."
sagar jadhav,5.0,This is weird but joyful this show has fun storyline is Best and character are cool
Hdh Hshsu,1.0,"I hate this show, gave me nightmares for weeks and really just wasnt the same after it.
Slow storyline and bad scripting"
Jakub Surmaczynski,1.0,"It's so horrible, my friend suffers from skibidi syndrome, he tried to fit inside of his toilet, he cut contact with his family, and says his pro nouns are skibidi/toilet"
JACOB GLASSBURN,5.0,5Stars hot gurl summer in ohio 3am challange gone wrong in ohio kia cenat when to ohio to take the risk joe byron skipidi dobdob travis scot never  back down never go in ohio.
R&R Studios,5.0,"Welcome to the world of Skibati toilet, 

A true masterpiece that WILL make you feel reborn."
Yeshan Samarasinghe,1.0,"At my school everyone sings it and it is cringe and stupid
People in 1920: ""In 100 years we will have flying cars!""
People now ""skidodi totolot"""""""""
Trey Smith,5.0,I LOVE SKIBIBIDI TOILET <3 I LOVE SKIBIBDI TOILET SO MUCH <3333
Alaric Brown,1.0,"this thing is so bad, its literally just valve assets in toilets and various sound / recording devices fighting them. who legitimately finds this entertaining????"
Chaz ISISISISIS,5.0,Too good to give up and has an unbelievable amount of views on youtube
Jase Smith,1.0,"Just awfull 
Extremely brain rot 
Addictive to kids 
IPad kids don't touch grass
And overall it is the worst thing to happen to humanity 
1 star"
Chandra Sing Kro,5.0,If you love sci-fi stuff than ridiculous has the series name sounds it won't disappoint
Pratiksha Nillawar,5.0,Very beautiful series  and very funny  my favourite characters are g man titan camera man titan TV man and titan speaker man
Sudha Dasi,1.0,"I hated this show, terrible series 😤.
Not appropriate for kids and everyone knows they put 69 episodes on purpose"
declan coffin,5.0,"oh my glorious skibidi toilet, i love you i edge to you and ur my father. will u marty me 👉👈📷📷📷📷📷"
Parker Cortez,1.0,"Skibidi Toilet saved my marriage thank you SKIBIDI!!!   :)

(I know where you live)  :)"
mrs sawmi,5.0,"Perfect, And everyone give a shot and you will fall in love with it"
Jc Gutierrez,3.0,What the #### is this? Is just toilets and heads. I mean is popular and is kinda good but why would make a YT series about toilets?
Angel Refugio Martinez,1.0,I don't get how people can sit down and watch this every time I look at it 5 of my brain cells die. >:(
Ezra Fleming,5.0,Changed my life nothing was going good for me before I found skibidi toilet best thing ever
Aayush Shukla,5.0,Finally after s long time that dafuqboom had  started this meme and it becomes a series
Rehan Kilaniya,5.0,Amazing... Absolutely fabulous loves it outstanding
Hadd Jashs,4.0,it's a pretty good show and high quality but the only thing pulling it away from a 5 star is the head in a toliet it's very cursed and I don't like looking at the toliets overall it's pretty good
Lucas Kenny,5.0,This is the best thing I've ever watched in my entire life
Liam Distefano,5.0,I LOVE SKIBIDI IT MAKES THIRSTY TO DRINK OUT OF MY OWN TOILET💋
Gunner LaMacchia-Meeks,5.0,"2nd best series ever trust I need more words so I stall a bit now uhhh uh skibidi toilet, uh monkey, flthey monkey you can't even use jujutsu-suguru geto"
Kaiser Loh,1.0,"Not enough Skibidy Gyatts. I loved the tv gyatts from og fortnite with the w rizzing sigmas, but not enough"
Rafael,1.0,This skibidi toilet is EVERYWHERE LIKE I OPEN MY LAPTOP AND THERES A SKIBIDI TOILET I PLAY A GAME AND THERES A SKIBIDI TOILET AVATAR ITS EVERYWHERE I CANT TAKE IT
Mubarak Amuda,1.0,"If anyone here posts a 5 star, they are either under the age of 10, was being sarcastic or are mentally unstable."
Themonia,5.0,I LOVE SKIBIDI TOILET!!!!!!! This show has chNged my life!!!!
Dos Adventures,5.0,I love this series. This is pure art.
SubhashSingh Rana,5.0,What a excellent  👏 👌  show I am exited 😀 what will happen
ilyas asmouni,5.0,The best series I ever seen the new episode was amazing 10/10 🤩🤩
Valeria De Alba,5.0,skibi toylet poooopy in dookie as in green day albulm real not clickbait... skibi tolet soooo hot cuet...........
Jason,5.0,I fucking love Skibidi toilet it is so amazing free brain damage
Carl Josef Maico,1.0,"I have and always will hate this show like this changed how I view people and even the younger generation and I hope this ""kids entertainment"" gets cancelled."
sean asphalt,1.0,this show gives your children so much fucking brain damage! i would give it 0 stars if i could!!!!!!
